Regions ;Annees;NbBT;NbHT ;NbFDE
BoucleMouhoun;2006;7820;29;0
Cascades;2006;6637;10;0
Centre;2006;166696;454;94
CentreEst;2006;8771;17;0
CentreNord;2006;6253;19;0
CentreOuest;2006;11037;23;0
CentreSud;2006;2455;11;0
Est;2006;4595;23;90
HautsBassins;2006;50329;141;95
Nord;2006;9257;29;0
PlateauCentral;2006;2130;9;190
Sahel;2006;3310;17;200
SudOuest;2006;3821;15;0
BoucleMouhoun;2007;9608;30;250
Cascades;2007;7258;10;0
Centre;2007;152318;467;109
CentreEst;2007;9950;20;200
CentreNord;2007;7069;22;0
CentreOuest;2007;14654;25;210
CentreSud;2007;2812;12;0
Est;2007;5252;28;100
HautsBassins;2007;57385;150;110
Nord;2007;10279;33;0
PlateauCentral;2007;2467;12;200
Sahel;2007;3727;17;210
SudOuest;2007;4881;16;150
BoucleMouhoun;2008;10528;35;340
Cascades;2008;7600;11;220
Centre;2008;121972;494;114
CentreEst;2008;10737;20;450
CentreNord;2008;7826;24;0
CentreOuest;2008;14305;27;210
CentreSud;2008;2830;14;0
Est;2008;6026;34;350
HautsBassins;2008;56684;158;110
Nord;2008;11510;39;110
PlateauCentral;2008;3379;20;460
Sahel;2008;4109;16;250
SudOuest;2008;4895;18;160
BoucleMouhoun;2009;11345;39;800
Cascades;2009;8221;14;350
Centre;2009;177320;533;144
CentreEst;2009;12258;28;500
CentreNord;2009;8647;25;0
CentreOuest;2009;18494;30;300
CentreSud;2009;3313;16;200
Est;2009;7144;38;500
HautsBassins;2009;63833;168;150
Nord;2009;12538;67;1400
PlateauCentral;2009;4049;20;700
Sahel;2009;4744;20;250
SudOuest;2009;5249;18;200
BoucleMouhoun;2010;11471;41;1400
Cascades;2010;8712;16;500
Centre;2010;190422;564;233
CentreEst;2010;13391;36;1450
CentreNord;2010;9783;27;0
CentreOuest;2010;18111;36;520
CentreSud;2010;3569;15;240
Est;2010;8387;31;1200
HautsBassins;2010;67501;174;250
Nord;2010;13736;77;3000
PlateauCentral;2010;4802;14;1500
Sahel;2010;5378;19;450
SudOuest;2010;5829;23;300
BoucleMouhoun;2011;14240;57;1200
Cascades;2011;9688;17;400
Centre;2011;208055;584;350
CentreEst;2011;15345;45;2000
CentreNord;2011;10360;25;200
CentreOuest;2011;20863;43;1200
CentreSud;2011;3973;19;400
Est;2011;9584;34;1000
HautsBassins;2011;74350;188;200
Nord;2011;15498;44;3500
PlateauCentral;2011;6042;17;1700
Sahel;2011;5912;25;1200
SudOuest;2011;6446;22;350
BoucleMouhoun;2012;15749;60;1400
Cascades;2012;10454;18;450
Centre;2012;225550;611;400
CentreEst;2012;16642;53;2500
CentreNord;2012;11741;32;400
CentreOuest;2012;22993;52;1500
CentreSud;2012;4494;21;480
Est;2012;10769;38;1500
HautsBassins;2012;79768;207;800
Nord;2012;16722;59;3500
PlateauCentral;2012;6673;17;1000
Sahel;2012;6510;26;1500
SudOuest;2012;6967;24;460
BoucleMouhoun;2013;16756;68;1500
Cascades;2013;14247;26;888
Centre;2013;241080;673;400
CentreEst;2013;18144;455;2828
CentreNord;2013;11274;32;620
CentreOuest;2013;23122;50;1828
CentreSud;2013;6631;27;1025
Est;2013;11855;45;1825
HautsBassins;2013;84078;203;1230
Nord;2013;18353;63;3720
PlateauCentral;2013;8697;22;1320
Sahel;2013;4753;32;2040
SudOuest;2013;8340;27;460
BoucleMouhoun;2014;28217;90;1920
Cascades;2014;3667;11;1205
Centre;2014;257122;689;620
CentreEst;2014;40520;126;5600
CentreNord;2014;8790;23;725
CentreOuest;2014;12028;29;3025
CentreSud;2014;8255;34;1800
Est;2014;8596;18;1950
HautsBassins;2014;104400;241;1830
Nord;2014;590;-;5450
PlateauCentral;2014;23571;110;1895
Sahel;2014;5161;34;2040
SudOuest;2014;6158;20;1023
BoucleMouhoun;2015;31120;104;1996
Cascades;2015;4099;11;1253
Centre;2015;270306;720;644
CentreEst;2015;43394;137;5821
CentreNord;2015;9737;28;754
CentreOuest;2015;13409;28;3144
CentreSud;2015;8891;34;1871
Est;2015;9830;22;2027
HautsBassins;2015;113083;260;1902
Nord;2015;1304;-;5665
PlateauCentral;2015;25910;97;1970
Sahel;2015;5732;35;2120
SudOuest;2015;6512;22;1063
BoucleMouhoun;2016;25678;105;2148
Cascades;2016;17784;36;1348
Centre;2016;285163;785;693
CentreEst;2016;23505;100;6264
CentreNord;2016;16287;47;811
CentreOuest;2016;32117;67;3383
CentreSud;2016;9966;41;2013
Est;2016;14763;57;2181
HautsBassins;2016;105489;234;2047
Nord;2016;23805;80;6096
PlateauCentral;2016;9043;36;2120
Sahel;2016;9160;39;2281
SudOuest;2016;11251;37;1144
BoucleMouhoun;2017;29844;112;2255
Cascades;2017;20236;35;970
Centre;2017;300277;832;647
CentreEst;2017;25260;78;6110
CentreNord;2017;17343;52;837
CentreOuest;2017;35397;69;2664
CentreSud;2017;10537;48;1519
Est;2017;15496;57;4176
HautsBassins;2017;114012;277;4269
Nord;2017;25433;60;6398
PlateauCentral;2017;9572;26;1409
Sahel;2017;10270;41;3818
SudOuest;2017;12697;50;975
