tranche,annee, Masculin, Feminin
0 à 4 ans,2008,1458226,1369273
5 à 9 ans,2008,1186016,1142005
10 à 14 ans,2008,944825,951274
15 à 19 ans,2008,745413,783086
20 à 24 ans,2008,554899,703145
25 à 29 ans,2008,452961,576882
30 à 34 ans,2008,375358,461239
35 à 39 ans,2008,302637,364204
40 à 44 ans,2008,254751,310769
45 à 49 ans,2008,201474,240931
50 à 54 ans,2008,166456,198800
55 à 59 ans,2008,133273,145451
60 à 64 ans,2008,114040,130708
65 à 69 ans,2008,81678,84503
70 à 74 ans,2008,63055,71069
75 à 79 ans,2008,36882,38290
80 ans et +,2008,38153,49441
0 à 4 ans,2009,1499793,1414559
5 à 9 ans,2009,1236776,1179631
10 à 14 ans,2009,988126,985689
15 à 19 ans,2009,774081,803243
20 à 24 ans,2009,579080,730558
25 à 29 ans,2009,455063,590553
30 à 34 ans,2009,389101,488994
35 à 39 ans,2009,308106,371797
40 à 44 ans,2009,263840,325937
45 à 49 ans,2009,206387,246707
50 à 54 ans,2009,172330,210565
55 à 59 ans,2009,133841,146677
60 à 64 ans,2009,118221,136751
65 à 69 ans,2009,81902,85418
70 à 74 ans,2009,64975,73639
75 à 79 ans,2009,37101,38563
80 ans et +,2009,38112,48664
0 à 4 ans,2010,1539590,1460839
5 à 9 ans,2010,1286212,1214850
10 à 14 ans,2010,1033413,1021322
15 à 19 ans,2010,806203,833844
20 à 24 ans,2010,604338,746105
25 à 29 ans,2010,460181,609244
30 à 34 ans,2010,399807,513671
35 à 39 ans,2010,316619,385672
40 à 44 ans,2010,270162,335378
45 à 49 ans,2010,214361,258621
50 à 54 ans,2010,175796,216718
55 à 59 ans,2010,137821,154772
60 à 64 ans,2010,119359,137009
65 à 69 ans,2010,84817,91337
70 à 74 ans,2010,64931,72511
75 à 79 ans,2010,38686,41510
80 ans et +,2010,37837,47441
0 à 4 ans,2011,1581637,1511264
5 à 9 ans,2011,1329311,1243828
10 à 14 ans,2011,1080627,1058146
15 à 19 ans,2011,840365,871734
20 à 24 ans,2011,632069,752423
25 à 29 ans,2011,467657,633731
30 à 34 ans,2011,409579,536416
35 à 39 ans,2011,326732,403516
40 à 44 ans,2011,275979,343040
45 à 49 ans,2011,222525,271733
50 à 54 ans,2011,179800,222466
55 à 59 ans,2011,142021,163917
60 à 64 ans,2011,120005,136841
65 à 69 ans,2011,88139,97841
70 à 74 ans,2011,65056,71465
75 à 79 ans,2011,40249,44645
80 ans et +,2011,37599,46202
0 à 4 ans,2012,1622950,1555837
5 à 9 ans,2012,1369882,1277538
10 à 14 ans,2012,1129501,1095861
15 à 19 ans,2012,877969,909193
20 à 24 ans,2012,659902,759232
25 à 29 ans,2012,479745,662733
30 à 34 ans,2012,416735,555204
35 à 39 ans,2012,338731,425668
40 à 44 ans,2012,281669,350320
45 à 49 ans,2012,230612,285252
50 à 54 ans,2012,184478,228219
55 à 59 ans,2012,146500,174302
60 à 64 ans,2012,120152,135917
65 à 69 ans,2012,92105,105388
70 à 74 ans,2012,64975,70083
75 à 79 ans,2012,42031,48096
80 ans et +,2012,37387,45039
0 à 4 ans,2013,1657434,1588245
5 à 9 ans,2013,1414132,1322659
10 à 14 ans,2013,1179589,1133946
15 à 19 ans,2013,919076,942438
20 à 24 ans,2013,686598,772059
25 à 29 ans,2013,499240,695066
30 à 34 ans,2013,419470,569156
35 à 39 ans,2013,353410,453013
40 à 44 ans,2013,286023,355648
45 à 49 ans,2013,240344,301811
50 à 54 ans,2013,188007,231469
55 à 59 ans,2013,152865,187885
60 à 64 ans,2013,118922,132889
65 à 69 ans,2013,97334,114643
70 à 74 ans,2013,63964,67798
75 à 79 ans,2013,44488,52224
80 ans et +,2013,37071,43880
0 à 4 ans,2014,1692643,1621576
5 à 9 ans,2014,1455491,1367302
10 à 14 ans,2014,1230136,1171519
15 à 19 ans,2014,962191,976801
20 à 24 ans,2014,715260,792323
25 à 29 ans,2014,523129,722322
30 à 34 ans,2014,421714,582859
35 à 39 ans,2014,366991,480391
40 à 44 ans,2014,291518,363284
45 à 49 ans,2014,249216,316623
50 à 54 ans,2014,192854,237223
55 à 59 ans,2014,158413,199018
60 à 64 ans,2014,119698,134412
65 à 69 ans,2014,100878,119715
70 à 74 ans,2014,64467,69127
75 à 79 ans,2014,45722,53746
80 ans et +,2014,37509,44315
0 à 4 ans,2015,1727798,1654797
5 à 9 ans,2015,1495367,1413387
10 à 14 ans,2015,1279388,1206710
15 à 19 ans,2015,1007291,1012377
20 à 24 ans,2015,747367,822920
25 à 29 ans,2015,548045,737833
30 à 34 ans,2015,426955,601544
35 à 39 ans,2015,377591,504745
40 à 44 ans,2015,300004,377090
45 à 49 ans,2015,255406,325836
50 à 54 ans,2015,200660,248944
55 à 59 ans,2015,161682,204789
60 à 64 ans,2015,123614,142324
65 à 69 ans,2015,101732,119668
70 à 74 ans,2015,67215,74625
75 à 79 ans,2015,45504,52530
80 ans et +,2015,38637,46119
0 à 4 ans,2016,1764318,1689265
5 à 9 ans,2016,1537649,1463843
10 à 14 ans,2016,1322364,1235711
15 à 19 ans,2016,1054319,1049138
20 à 24 ans,2016,781507,860697
25 à 29 ans,2016,575412,744274
30 à 34 ans,2016,434498,625946
35 à 39 ans,2016,387313,527232
40 à 44 ans,2016,310028,394741
45 à 49 ans,2016,261159,333407
50 à 54 ans,2016,208575,261719
55 à 59 ans,2016,165568,210345
60 à 64 ans,2016,127564,150956
65 à 69 ans,2016,102359,119614
70 à 74 ans,2016,70048,80174
75 à 79 ans,2016,45713,51904
80 ans et +,2016,39510,47527
0 à 4 ans,2017,1801439,1724267
5 à 9 ans,2017,1579270,1508582
10 à 14 ans,2017,1362875,1269451
15 à 19 ans,2017,1103007,1086792
20 à 24 ans,2017,819089,898009
25 à 29 ans,2017,602864,751280
30 à 34 ans,2017,446597,654782
35 à 39 ans,2017,394465,545843
40 à 44 ans,2017,321898,416600
45 à 49 ans,2017,266800,340636
50 à 54 ans,2017,216418,274875
55 à 59 ans,2017,170086,215932
60 à 64 ans,2017,131763,160730
65 à 69 ans,2017,102575,118907
70 à 74 ans,2017,73416,86584
75 à 79 ans,2017,45723,50978
80 ans et +,2017,40520,49094
